ds,values,district,type,model,DISTRICT_
2006-01-31,19359.0,city,Time Series,prophet,0
2006-02-28,15894.0,city,Time Series,prophet,0
2006-03-31,18627.0,city,Time Series,prophet,0
2006-04-30,18940.0,city,Time Series,prophet,0
2006-05-31,20041.0,city,Time Series,prophet,0
2006-06-30,20366.0,city,Time Series,prophet,0
2006-07-31,21159.0,city,Time Series,prophet,0
2006-08-31,21952.0,city,Time Series,prophet,0
2006-09-30,19644.0,city,Time Series,prophet,0
2006-10-31,20719.0,city,Time Series,prophet,0
2006-11-30,19272.0,city,Time Series,prophet,0
2006-12-31,18782.0,city,Time Series,prophet,0
2007-01-31,18235.0,city,Time Series,prophet,0
2007-02-28,14472.0,city,Time Series,prophet,0
2007-03-31,18666.0,city,Time Series,prophet,0
2007-04-30,19077.0,city,Time Series,prophet,0
2007-05-31,20385.0,city,Time Series,prophet,0
2007-06-30,19143.0,city,Time Series,prophet,0
2007-07-31,20313.0,city,Time Series,prophet,0
2007-08-31,20239.0,city,Time Series,prophet,0
2007-09-30,19046.0,city,Time Series,prophet,0
2007-10-31,19303.0,city,Time Series,prophet,0
2007-11-30,17392.0,city,Time Series,prophet,0
2007-12-31,17631.0,city,Time Series,prophet,0
2008-01-31,17999.0,city,Time Series,prophet,0
2008-02-29,16424.0,city,Time Series,prophet,0
2008-03-31,19262.0,city,Time Series,prophet,0
2008-04-30,19582.0,city,Time Series,prophet,0
2008-05-31,18786.0,city,Time Series,prophet,0
2008-06-30,20131.0,city,Time Series,prophet,0
2008-07-31,20723.0,city,Time Series,prophet,0
2008-08-31,20975.0,city,Time Series,prophet,0
2008-09-30,18139.0,city,Time Series,prophet,0
2008-10-31,18351.0,city,Time Series,prophet,0
2008-11-30,16547.0,city,Time Series,prophet,0
2008-12-31,16816.0,city,Time Series,prophet,0
2009-01-31,15665.0,city,Time Series,prophet,0
2009-02-28,14473.0,city,Time Series,prophet,0
2009-03-31,17470.0,city,Time Series,prophet,0
2009-04-30,17867.0,city,Time Series,prophet,0
2009-05-31,18484.0,city,Time Series,prophet,0
2009-06-30,18394.0,city,Time Series,prophet,0
2009-07-31,18837.0,city,Time Series,prophet,0
2009-08-31,18976.0,city,Time Series,prophet,0
2009-09-30,17025.0,city,Time Series,prophet,0
2009-10-31,17058.0,city,Time Series,prophet,0
2009-11-30,16053.0,city,Time Series,prophet,0
2009-12-31,14742.0,city,Time Series,prophet,0
2010-01-31,15404.0,city,Time Series,prophet,0
2010-02-28,12082.0,city,Time Series,prophet,0
2010-03-31,16553.0,city,Time Series,prophet,0
2010-04-30,16962.0,city,Time Series,prophet,0
2010-05-31,18354.0,city,Time Series,prophet,0
2010-06-30,18109.0,city,Time Series,prophet,0
2010-07-31,18716.0,city,Time Series,prophet,0
2010-08-31,19193.0,city,Time Series,prophet,0
2010-09-30,16946.0,city,Time Series,prophet,0
2010-10-31,17107.0,city,Time Series,prophet,0
2010-11-30,16095.0,city,Time Series,prophet,0
2010-12-31,13894.0,city,Time Series,prophet,0
2011-01-31,13724.0,city,Time Series,prophet,0
2011-02-28,13820.0,city,Time Series,prophet,0
2011-03-31,16694.0,city,Time Series,prophet,0
2011-04-30,16914.0,city,Time Series,prophet,0
2011-05-31,17427.0,city,Time Series,prophet,0
2011-06-30,17900.0,city,Time Series,prophet,0
2011-07-31,17929.0,city,Time Series,prophet,0
2011-08-31,17913.0,city,Time Series,prophet,0
2011-09-30,17004.0,city,Time Series,prophet,0
2011-10-31,16053.0,city,Time Series,prophet,0
2011-11-30,15333.0,city,Time Series,prophet,0
2011-12-31,14810.0,city,Time Series,prophet,0
2012-01-31,15370.0,city,Time Series,prophet,0
2012-02-29,15092.0,city,Time Series,prophet,0
2012-03-31,16637.0,city,Time Series,prophet,0
2012-04-30,16659.0,city,Time Series,prophet,0
2012-05-31,17797.0,city,Time Series,prophet,0
2012-06-30,17549.0,city,Time Series,prophet,0
2012-07-31,17513.0,city,Time Series,prophet,0
2012-08-31,17684.0,city,Time Series,prophet,0
2012-09-30,16843.0,city,Time Series,prophet,0
2012-10-31,16699.0,city,Time Series,prophet,0
2012-11-30,14528.0,city,Time Series,prophet,0
2012-12-31,14384.0,city,Time Series,prophet,0
2013-01-31,14327.0,city,Time Series,prophet,0
2013-02-28,12834.0,city,Time Series,prophet,0
2013-03-31,15235.0,city,Time Series,prophet,0
2013-04-30,15582.0,city,Time Series,prophet,0
2013-05-31,16951.0,city,Time Series,prophet,0
2013-06-30,16755.0,city,Time Series,prophet,0
2013-07-31,17178.0,city,Time Series,prophet,0
2013-08-31,17487.0,city,Time Series,prophet,0
2013-09-30,15977.0,city,Time Series,prophet,0
2013-10-31,16589.0,city,Time Series,prophet,0
2013-11-30,14481.0,city,Time Series,prophet,0
2013-12-31,13093.0,city,Time Series,prophet,0
2014-01-31,12316.0,city,Time Series,prophet,0
2014-02-28,11252.0,city,Time Series,prophet,0
2014-03-31,14146.0,city,Time Series,prophet,0
2014-04-30,15832.0,city,Time Series,prophet,0
2014-05-31,17385.0,city,Time Series,prophet,0
2014-06-30,16819.0,city,Time Series,prophet,0
