,city,dist_1,dist_2,dist_18,dist_77,dist_3,dist_5,dist_6,dist_14,dist_17,dist_7,dist_8,dist_9,dist_16,dist_15,dist_22,dist_24,dist_12,dist_19,dist_35,dist_25,dist_26,dist_39,type
2006-01-31,19359.0,512.0,794.0,898.0,62.0,468.0,290.0,899.0,1134.0,642.0,362.0,681.0,638.0,568.0,1410.0,804.0,1341.0,1126.0,1066.0,1188.0,1532.0,701.0,910.0,Actual Values
2006-02-28,15894.0,385.0,712.0,676.0,52.0,444.0,283.0,723.0,830.0,572.0,325.0,654.0,518.0,440.0,1205.0,649.0,1027.0,863.0,894.0,1003.0,1352.0,572.0,662.0,Actual Values
2006-03-31,18627.0,561.0,817.0,771.0,61.0,533.0,257.0,777.0,1008.0,664.0,335.0,623.0,683.0,607.0,1368.0,741.0,1306.0,1076.0,954.0,1111.0,1678.0,659.0,792.0,Actual Values
2006-04-30,18940.0,466.0,922.0,843.0,49.0,565.0,282.0,759.0,1025.0,766.0,389.0,598.0,657.0,594.0,1367.0,767.0,1325.0,1126.0,941.0,1126.0,1578.0,776.0,721.0,Actual Values
2006-05-31,20041.0,458.0,1029.0,918.0,62.0,509.0,259.0,867.0,1100.0,778.0,428.0,664.0,747.0,648.0,1391.0,837.0,1259.0,1164.0,1038.0,1242.0,1642.0,796.0,833.0,Actual Values
2006-06-30,20366.0,530.0,953.0,960.0,68.0,569.0,327.0,875.0,1170.0,967.0,415.0,706.0,737.0,659.0,1341.0,805.0,1318.0,1119.0,1040.0,1258.0,1598.0,844.0,844.0,Actual Values
2006-07-31,21159.0,559.0,1066.0,870.0,62.0,786.0,350.0,911.0,1066.0,919.0,400.0,702.0,856.0,708.0,1388.0,890.0,1306.0,1262.0,1057.0,1300.0,1528.0,823.0,877.0,Actual Values
2006-08-31,21952.0,542.0,1032.0,942.0,69.0,838.0,398.0,977.0,1153.0,944.0,474.0,775.0,758.0,704.0,1757.0,819.0,1440.0,1189.0,1040.0,1269.0,1622.0,965.0,855.0,Actual Values
2006-09-30,19644.0,409.0,893.0,937.0,71.0,450.0,319.0,1009.0,996.0,727.0,369.0,641.0,746.0,592.0,1588.0,766.0,1350.0,1135.0,927.0,1150.0,1572.0,843.0,814.0,Actual Values
2006-10-31,20719.0,438.0,972.0,1094.0,68.0,498.0,329.0,927.0,1117.0,724.0,405.0,651.0,730.0,604.0,1612.0,852.0,1460.0,1390.0,1028.0,1149.0,1585.0,831.0,778.0,Actual Values
