dispatch_date,city,dist_1,dist_2,dist_18,dist_77,dist_3,dist_5,dist_6,dist_14,dist_17,dist_7,dist_8,dist_9,dist_16,dist_15,dist_22,dist_24,dist_12,dist_19,dist_35,dist_25,dist_26,dist_39
2006-01-31,19359,512,794,898,62,468,290,899,1134,642,362,681,638,568,1410,804,1341,1126,1066,1188,1532,701,910
2006-02-28,15894,385,712,676,52,444,283,723,830,572,325,654,518,440,1205,649,1027,863,894,1003,1352,572,662
2006-03-31,18627,561,817,771,61,533,257,777,1008,664,335,623,683,607,1368,741,1306,1076,954,1111,1678,659,792
2006-04-30,18940,466,922,843,49,565,282,759,1025,766,389,598,657,594,1367,767,1325,1126,941,1126,1578,776,721
2006-05-31,20041,458,1029,918,62,509,259,867,1100,778,428,664,747,648,1391,837,1259,1164,1038,1242,1642,796,833
2006-06-30,20366,530,953,960,68,569,327,875,1170,967,415,706,737,659,1341,805,1318,1119,1040,1258,1598,844,844
2006-07-31,21159,559,1066,870,62,786,350,911,1066,919,400,702,856,708,1388,890,1306,1262,1057,1300,1528,823,877
2006-08-31,21952,542,1032,942,69,838,398,977,1153,944,474,775,758,704,1757,819,1440,1189,1040,1269,1622,965,855
2006-09-30,19644,409,893,937,71,450,319,1009,996,727,369,641,746,592,1588,766,1350,1135,927,1150,1572,843,814
2006-10-31,20719,438,972,1094,68,498,329,927,1117,724,405,651,730,604,1612,852,1460,1390,1028,1149,1585,831,778
2006-11-30,19272,414,922,931,50,518,346,795,1041,679,340,657,637,609,1548,861,1272,1181,896,1263,1374,798,749
2006-12-31,18782,424,974,900,78,467,342,759,1003,609,371,704,561,557,1408,807,1386,1206,868,1112,1387,694,766
2007-01-31,18235,411,808,911,65,421,271,764,1056,625,326,570,570,538,1540,752,1313,1178,911,1134,1389,701,766
2007-02-28,14472,289,766,614,46,302,213,625,747,457,278,521,409,474,1096,626,1055,897,786,915,1161,549,623
2007-03-31,18666,382,835,755,73,407,293,935,1075,650,344,633,546,607,1538,773,1191,1157,1061,1179,1590,633,792
2007-04-30,19077,394,826,792,72,459,279,918,1055,687,323,641,599,568,1584,744,1245,1163,904,1251,1649,738,864
2007-05-31,20385,437,844,923,69,481,329,977,1165,712,419,744,662,734,1705,764,1366,1232,962,1326,1670,736,866
2007-06-30,19143,441,941,890,54,401,276,885,1106,732,381,705,656,587,1525,749,1377,1145,950,1168,1516,703,795
2007-07-31,20313,475,1027,880,81,539,295,902,1156,778,360,816,658,635,1703,739,1427,1185,1052,1200,1621,779,800
2007-08-31,20239,456,986,922,73,418,381,940,1083,833,408,843,661,543,1638,797,1373,1157,1136,1187,1636,726,778
2007-09-30,19046,422,923,898,54,398,334,891,897,761,423,664,627,637,1480,792,1215,1050,1154,1237,1522,628,707
2007-10-31,19303,409,908,973,78,426,342,847,1061,654,409,607,746,557,1531,752,1261,1173,1017,1310,1515,685,746
2007-11-30,17392,427,894,928,66,358,263,767,984,587,390,589,635,536,1405,713,1246,990,805,1084,1367,615,720
2007-12-31,17631,346,826,821,80,336,314,759,956,766,426,675,599,577,1346,638,1301,1065,861,1077,1513,617,650
2008-01-31,17999,412,826,884,60,410,282,826,978,749,404,586,731,565,1416,724,1282,1071,946,1135,1361,584,715
2008-02-29,16424,366,799,816,58,361,221,723,861,600,327,614,604,564,1334,741,1141,948,855,1055,1117,578,717
2008-03-31,19262,398,930,984,58,454,307,775,1069,651,318,724,718,648,1702,889,1202,1097,939,1266,1473,632,804
2008-04-30,19582,394,916,1003,71,415,298,811,1106,658,338,688,705,600,1671,935,1315,1121,989,1370,1359,604,862
2008-05-31,18786,411,904,988,70,477,273,857,1046,684,341,684,683,717,1518,836,1135,1229,906,1134,1256,677,744
