dispatch_date,Vandalism/Criminal Mischief,DISTRICT_,Robbery Firearm,Thefts,Other Assaults,Theft from Vehicle,Fraud,Aggravated Assault No Firearm,Burglary Non-Residential,Forgery and Counterfeiting,Disorderly Conduct,Burglary Residential,All Other Offenses,Aggravated Assault Firearm,Robbery No Firearm,Narcotic / Drug Law Violations,Vagrancy/Loitering,Other Sex Offenses (Not Commercialized),Arson,Rape,Liquor Law Violations,Weapon Violations,Embezzlement,Public Drunkenness,Prostitution and Commercialized Vice,Receiving Stolen Property,Offenses Against Family and Children,Gambling Violations,DRIVING UNDER THE INFLUENCE,Recovered Stolen Motor Vehicle,Motor Vehicle Theft,Homicide - Criminal,Homicide - Criminal ,Homicide - Justifiable ,Homicide - Gross Negligence
2006-01-31,1913,0,424.0,1617,2173,1406,782,468.0,246.0,69.0,385.0,662.0,4295,277.0,466.0,1215.0,55.0,154.0,44.0,96.0,29.0,217.0,44.0,36.0,98.0,14.0,20.0,9.0,441.0,1006,673.0,21.0,3.0,1.0,0.0
2006-02-28,1531,0,292.0,1338,1853,1113,740,467.0,189.0,72.0,291.0,485.0,3430,196.0,367.0,1145.0,46.0,142.0,40.0,61.0,20.0,189.0,43.0,24.0,79.0,7.0,12.0,11.0,407.0,734,548.0,17.0,5.0,0.0,0.0
2006-03-31,1891,0,325.0,1599,2459,1318,783,614.0,213.0,60.0,353.0,629.0,3706,267.0,451.0,1312.0,51.0,131.0,51.0,78.0,27.0,242.0,42.0,21.0,85.0,12.0,11.0,10.0,427.0,791,634.0,24.0,6.0,4.0,0.0
2006-04-30,1883,0,401.0,1617,2343,1167,727,591.0,199.0,61.0,341.0,582.0,4422,282.0,415.0,1226.0,43.0,143.0,55.0,92.0,93.0,132.0,43.0,20.0,99.0,11.0,16.0,20.0,405.0,810,663.0,28.0,5.0,5.0,0.0
2006-05-31,2148,0,396.0,1957,2500,1459,810,630.0,297.0,67.0,399.0,704.0,3734,358.0,511.0,1119.0,38.0,165.0,68.0,87.0,79.0,228.0,34.0,23.0,138.0,13.0,25.0,22.0,333.0,946,722.0,28.0,2.0,1.0,0.0
2006-06-30,1958,0,402.0,1877,2241,1456,781,660.0,254.0,43.0,325.0,669.0,5061,290.0,503.0,1061.0,56.0,136.0,53.0,80.0,32.0,139.0,53.0,17.0,115.0,14.0,21.0,15.0,319.0,953,748.0,28.0,3.0,3.0,0.0
2006-07-31,2160,0,488.0,1961,2313,1563,807,623.0,221.0,53.0,350.0,819.0,4980,341.0,426.0,978.0,55.0,149.0,44.0,110.0,19.0,152.0,52.0,13.0,91.0,10.0,18.0,26.0,320.0,1121,848.0,43.0,4.0,1.0,0.0
2006-08-31,2163,0,493.0,2056,2088,1550,888,659.0,248.0,48.0,315.0,881.0,5404,300.0,465.0,1140.0,93.0,143.0,51.0,97.0,65.0,123.0,58.0,20.0,159.0,11.0,15.0,18.0,344.0,1138,895.0,19.0,4.0,1.0,0.0
2006-09-30,1899,0,383.0,1951,2242,1702,764,649.0,241.0,46.0,408.0,765.0,3712,269.0,450.0,1023.0,91.0,139.0,41.0,83.0,53.0,178.0,45.0,20.0,154.0,13.0,21.0,20.0,421.0,1056,772.0,27.0,6.0,0.0,0.0
2006-10-31,2123,0,554.0,2005,2380,1754,725,593.0,200.0,58.0,463.0,797.0,4098,310.0,521.0,1099.0,57.0,140.0,71.0,85.0,42.0,217.0,43.0,21.0,123.0,12.0,13.0,13.0,426.0,950,783.0,36.0,5.0,2.0,0.0
